id	title	orig_title	author	language	published	avg_rating	ratings_count	review_count	genre_1	genre_2	genre_2	to_read	currently_reading	favorites
9403926	The Girl with the Dragon Tattoo	Män som hatar kvinnor	Stieg Larsson	2005-08-31	English	4.11	1973709	63005	Fiction	Mystery	Thriller	604591	20193	9188
234225	Dune	Dune	Frank Herbert	1965-06-01	English	4.19	535378	13603	Science Fiction	Fiction	Fantasy	238601	13222	5876
1543533	El Arte De La Guerra	孫子兵法 [Sūnzi bīngfǎ]	Sun Tzu	0500-10-31	Spanish	3.95	211029	6585	Nonfiction	Classics	Philosophy	200739	26794	695
17373278	The Awakening	The Awakening	Kate Chopin	1899-10-31		3.63	139791	5787	Fiction	Feminism	Academic	1320	133	1425
2407752	L'autobiographie De Malcolm X	The Autobiography of Malcolm X	Malcolm X	1965-10-31		4.29	136848	4066	Biography	History	Nonfiction	40584	864	1085
16104257	Pieśń Susannah	Song of Susannah	Stephen King	2004-10-31	Polish	3.98	98516	2658	Fantasy	Fiction	Horror	32177	1623	578
34374667	Mørk materie	Dark Matter	Blake Crouch	2016-07-26	Norwegian	4.1	93653	14299	Science Fiction	Fiction	Thriller	16352	1018	235
189833	Duell der Zauberer	Enchanters' End Game	David Eddings	1984-12-31	German	4.17	73841	688	Fantasy	Fiction	Fantasy	7796	210	319
824217	God Is Not Great: The Case Against Religion	God is Not Great: How Religion Poisons Everything	Christopher Hitchens			3.96	71153	4042	Nonfiction	Religion	Religion	9478	437	450
30654930	Вожделение	Rush	Maya Banks	2013-02-05	Russian	3.96	59059	3719	Romance	Did Not Finish		256	259	34
9836197	Obsidian Butterfly	Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)	Laurell K. Hamilton	2000-01-01	Hungarian	4.08	54659	1337	Fantasy	Urban Fantasy	Paranormal	8014	355	425
3392089	The Winter Sea	The Winter Sea	Susanna Kearsley	2008-01-01	English	4.07	48559	5715	Historical	Historical Fiction	Romance	53056	1256	718
18160005	Uma Prova do Céu	Proof of Heaven: A Neurosurgeon's Journey Into the Afterlife	Eben Alexander	2012-10-31	Portuguese	3.68	43576	4651	Biography	Science	Nonfiction	4827	317	77
18460772	Soul Eater, tom 1	ソウルイーター 1	Atsushi Ohkubo	2004-06-22	Polish	4.3	35538	383	Sequential Art	Manga	Fantasy	16864	199	128
8121852	Discursos de La Guerra del Peloponeso: Version Aragonesa de La Historia de La Guerra del Peloponeso, Patrocinada Por Juan Fernandez de Heredia	Ἱστορίαι	Thucydides	0411-10-31	English	3.87	24691	598	History	Ancient History	Nonfiction	151	27	108
28929192	The Joke	Žert	Milan Kundera	1967-10-31	English	3.99	21109	842	Fiction	European Literature	Czech Literature	12297	6	195
34483684	The Robe: The Story of the Soldier Who Tossed for Christ's Robe and Won	The Robe	Lloyd C. Douglas	1942-10-31		4.2	19748	965	Historical	Historical Fiction	Fiction	45		154
35218137	O Nosso Agente em Havana	Our Man in Havana	Graham Greene	1958-10-31	Portuguese	3.94	18875	1206	Fiction	Classics	Spy Thriller	3736	100	114
36173100	Posledné vinobranie	Eight Hundred Grapes	Laura Dave	2015-06-29	Slovak	3.57	18309	2117	Fiction	Womens Fiction	Chick Lit	9963	612	47
25124604	Where Things Come Back	Where Things Come Back	John Corey Whaley	2011-05-03	English	3.81	17774	2844	Young Adult	Contemporary	Fiction	25803	53	449
7195942	There's A Boy In The Girls' Bathroom	There's a Boy in the Girls' Bathroom	Louis Sachar	1987-10-31	English	3.95	15571	1410	Childrens	Fiction	Young Adult	1165	119	147
22095533	The Gospel of Unbelief-Nietzsche's Antichrist	Der Antichrist	Friedrich Nietzsche	1888-10-31	English	3.91	15253	628	Religion	Classics	European Literature	701	109	9
27825580	Uma Casa no Fim do Mundo	A Home at the End of the World	Michael Cunningham	1990-10-31	Portuguese	3.89	15172	795	Fiction	Glbt	Glbt	10196	66	192
20319124	Warrior Cats - Die Macht der Drei 6 - Sonnenaufgang	Sunrise (Warriors: Power of Three, #6)	Erin Hunter	2009-04-09	German	4.35	12015	352	Fantasy	Animals	Fiction	1124	73	27
20563205	Frozen Heat	Frozen Heat	Richard Castle	2012-06-01	English	3.98	11758	1101	Mystery	Fiction	Mystery	91	290	42
18753718	برخورد قطعه گمشده با دایره کله گنده	The Missing Piece Meets the Big O	Shel Silverstein	1981-10-31	Persian	4.32	10264	468	Childrens	Poetry	Childrens	3467	17	160
21175345	Dorothy and the Wizard in Oz	Dorothy and the Wizard in Oz	L. Frank Baum	1908-10-31	English	3.78	9779	518	Classics	Childrens		969	717	40
20918545	Bonnie		Iris Johansen	2011-10-31		4.05	8520	692	Mystery	Suspense	Fiction	170	121	17
11200306	Inimeseks kõlbmatu	人間失格 [Ningen Shikkaku]	Osamu Dazai	1948-07-25		4.06	8279	663	Fiction	Cultural	Japan	12958	490	324
6397647	Ouran High Host Club, Volume 13	桜蘭高校ホスト部 13	Bisco Hatori		English	4.51	7525	103	Sequential Art	Manga	Romance	1447	14	60
24109890	Gorgias	Γοργίας	Plato	0380-10-31	English	3.92	6765	202	Classics	Philosophy	Nonfiction	243	117	18
36050592	At fange de store fisk	Catching the Big Fish: Meditation, Consciousness, and Creativity	David Lynch	2006-10-31		3.71	6139	674	Nonfiction	Philosophy	Culture	36	331	57
18903380	Liebe ist Finsternis		Caroline Hanson	2011-08-27	German	3.76	6119	446	Paranormal	Vampires	Fantasy	5303	436	48
19967563	Fire and Ice	Fire And Ice	J.A. Jance	2009-01-01	English	4.0	6025	322	Mystery	Fiction		1501	94	
29576615	The Lusiad: Or, the Discovery of India. an Epic Poem. Translated from the Original Portuguese of Luis de Camoens. by William Julius Mickle. in Two Volumes.	Os Lusíadas	Luís de Camões	1572-10-31		3.99	5619	158	Poetry	Classics	European Literature	2756	111	31
21548547	Kent ve Tuz	The City and the Pillar	Gore Vidal	1948-01-10	Turkish	3.86	5212	335	Glbt	Fiction	Classics	3029	64	45
23397593	Gato Escaldado Tem Nove Vidas	Cat O' Nine Tales: And Other Stories	Jeffrey Archer	2006-10-31	Portuguese	3.68	5182	304	Short Stories	Fiction	Mystery	1452	54	15
14578115	One Click: Jeff Bezos and the Rise of Amazon.com	One Click: Jeff Bezos and de Rise of Amazon.com	Richard L. Brandt	2011-10-27	English	3.75	5155	327	Business	Nonfiction	Biography	2586	52	5
27413146	Ophelia und das Geheimnis des magischen Museums	Ophelia and the Marvelous Boy	Karen Foxlee	2014-02-06	German	3.87	5093	962	Fantasy	Childrens	Middle Grade	5736	101	23
26150725	De Matarese finale	The Matarese Countdown	Robert Ludlum	1997-10-13	Dutch	3.86	4962	92	Fiction	Thriller	Spy Thriller	1303	24	10
22512169	Unwound	Unwound	Lorelei James	2014-03-25	English	4.16	4619	366	Erotica	Bdsm	Adult Fiction	499	88	40
10301276	When the Sacred Ginmill Closes	When the Sacred Ginmill Closes	Lawrence Block	1986-10-31	English	4.16	4146	222	Mystery	Mystery	Crime	241	38	20
