id	title	author	language	avg_rating	ratings_count	review_count
4972313	The Economic and Administrative History of Early Indonesia	F.H. Van Naerssen	English	3.0	    2  	      0    
21285966	Smithy and the Hun	Edgar Wallace	English	4.0	    1  	      1    
35366442	The Minds and Manners of Wild Animals: A Book of Personal Observations	Hornaday		0.0	    0  	      0    
21853684	The Housemaid's Daughter	Barbara Mutch		3.93	    3290  	      526    
14382720	A Guide to the Paintings of Venice	Karl Karoly	English	0.0	    0  	      0    
15711261	Cărarea tinereţii curate	Traian Dorz	Romanian	5.0	    2  	      0    
33448292	Diecezja Widnicka: Dekanaty Diecezji Widnickiej, Duchowni Diecezji Widnickiej, Ko CIO y W Diecezji Widnickiej, Parafie Diecezji Widnickiej, Tadeusz Fitych, Ko CIO Zmartwychwstania Pa Skiego W Stroniu L Skim	Rod O Wikipedia		0.0	    0  	      0    
20923220	Utopia Revisited	Albert L. Isaac	English	4.33	    3  	      0    
31234556	The Tempest	SparkNotes		3.71	    7  	      1    
23944672	Un amore di inizio secolo: La traversata	Viviana Giorgi	Italian	4.21	    28  	      11    
22235932	Dark Woods: Part 2	Arick Scott	English	4.0	    1  	      0    
24998773	Research Handbook on the Law of International Organizations	Jan Klabbers	English	0.0	    0  	      0    
21989341	Honoring Differences: Cultural Issues in the Treatment of Trauma and Loss	Kathleen Nader		3.0	    1  	      0    
2661201	The Penguin Who Wanted To Be Different: A Christmas Wish	Maria O'neill	English	3.43	    67  	      14    
4414424	The U.S. Army Corps of Engineers Response to the EXXON Valdez Oil Spill	U.S. Army Corps of Engineers	English	2.0	    1  	      0    
23689375	Quintus	R. Weerstand		4.0	    25  	      7    
6643454	Tutte le opere	Virgil		4.61	    56  	      6    
4324715	New York's Hudson: America's Valley	Ted Spiegel	English	3.0	    3  	      0    
34064179	Adventures in Crime	Shane Berryhill		0.0	    0  	      0    
2788285	Internet University, Graduate Studies: Your Guide to Online College Courses	Daniel Quinn Mills	English	0.0	    0  	      0    
5314417	Traditional Quilts and Bedcoverings	Ruth McKendry	English	0.0	    0  	      0    
18591896	Bloedmaan	Nico de Braeckeleer	Dutch	2.0	    1  	      0    
31302655	Thomas and the School Trip	Wilbert Awdry	English	3.25	    4  	      0    
23298306	Sissy Maria	James Masters		0.0	    0  	      0    
22979900	Sacred Sites and Places of Power: A Meditation Handbook	Heather Charnley		0.0	    0  	      0    
22973351	Nancy Werlock's Diary: Season One	Julie Ann Dawson		4.0	    2  	      1    
14328000	The Livingston Papers: The Livingston Letters	Thomas R. Tindall	English	0.0	    0  	      0    
4572761	Study Skills Workbook for Prealgebra and Introductory Algebra	Margaret L. Lial	English	0.0	    0  	      0    
21470423	Readings	Gayatri Chakravorty Spivak		4.0	    4  	      0    
23133929	Discovering Amphibians: Frogs and Salamanders of the Northeast	John Himmelman		4.0	    2  	      0    
33155402	The Global 1930s: The International Decade	Susan Kingsley Kent		0.0	    0  	      0    
11180633	When God Speaks: How to Recognize God's Voice and Respond in Obedience	Henry T. Blackaby	English	3.6	    10  	      2    
21328152	Magical Mischief	Christopher Browne	English	0.0	    0  	      0    
3501664	Nutrition for the Growing Years	Margaret McWilliams	English	0.0	    0  	      0    
4215403	Clinical Chemistry: A Fundamental Textbook	Donald F. Calbreath	English	0.0	    0  	      0    
25860187	such is life	Betty Foster		4.0	    1  	      1    
33800717	Explore Britain's Coastline	Richard Cavendish	English	0.0	    0  	      0    
5132305	Instructor's Solution Manual	Ralph McGrew		0.0	    0  	      0    
19778722	Alandatud ja solvatud	Fyodor Dostoyevsky	Estonian	4.21	    9583  	      618    
8292822	Prats & Twats	Marc Blake		0.0	    0  	      0    
12506263	The Guardian	Robbie Cheuvront	English	3.97	    214  	      51    
16852014	The 2007-2012 World Outlook for Paper Napkins and Tablecloths	Philip M. Parker		0.0	    0  	      0    
33728557	Pokhoronennye V Rime: Pokhoronennye Na Kladbishche Testachcho, Ivanov, Vyacheslav Ivanovich, Neron, Ruskaya, YA, Gramshi, Antonio, Kit.S, Dzhon	IWikipedia		0.0	    0  	      0    
30354922	The Armor	SophiaJohnson255	English	4.5	    2  	      0    
5703898	Rolls Royce V-8	Ian Adcock	English	0.0	    0  	      0    
7461782	Da Vinci-Koden	Dan Brown	Norwegian	3.79	    1572921  	      41906    
16357749	Gianni's Pride	Kim Lawrence	English	3.01	    110  	      10    
12550757	Les enfants du capitaine Grant	Jules Verne	French	4.07	    8155  	      159    
35809763	Masters of Terror: Clive Barker's Filmography	Steve Hutchison		0.0	    0  	      0    
3870968	Flexibility in school programs,	Willard J Congreve		0.0	    0  	      0    
10710532	The BFG	Roald Dahl	English	4.22	    270628  	      8099    
1343315	A Study in Scarlet	Arthur Conan Doyle	English	4.15	    225421  	      7097    
24278364	Getting There	David Limerick	English	0.0	    0  	      0    
4508942	Resonance Ionization Spectroscopy 1988: Proceedings Of The Fourth International Symposium On Resonance Ionization Spectroscopy And Its Applications Held At The National Bureau Of Standards, Gaithersburg, Maryland, From 10 15 April 1988	J.E Parks		0.0	    0  	      0    
22420209	Easy Ideas To Keep Her Smiling For The Next Decade!	Michael  Aaron		0.0	    0  	      0    
25621480	Transmutation of the Fey	Donna Daywoman Thompson	English	5.0	    1  	      0    
25382920	Global Economic Prospects: Less volatile, but slower growth	The World Bank	English	4.0	    1  	      0    
23406239	What to Do When You're Totally Screwed	Brian R. King		5.0	    2  	      1    
31164546	La Ventana de Agua	Diego Fortunato		0.0	    0  	      0    
26505167	Der Zugang Zum Fall: Beobachtungen, Deutungen, Interventionsansatze	Brigitta Michel-Schwartze		0.0	    0  	      0    
32568043	Eminent Americans	Benson John Lossing		0.0	    0  	      0    
9667557	Arkansas Razorbacks: Arkansas Razorbacks Athletic Directors, Arkansas Razorbacks Baseball, Arkansas Razorbacks Football	Source Wikipedia		0.0	    0  	      0    
31802952	The Path O' Dreams	Thomas S. Jones Jr.		0.0	    0  	      0    
21929500	Last Name Unknown	Danielle Real	English	3.86	    7  	      4    
14878756	Virtual Comics 3 Pack + CD Prepack 3	Byron Assorted	English	0.0	    0  	      0    
543995	Thomas' Trainloads of Fun	Golden Books		4.63	    8  	      0    
28104317	The Story of a Poker Steer	Andy Adams	English	2.0	    1  	      0    
13387814	More E.S.E. Activities	Ross J. Pegler	English	0.0	    0  	      0    
11496126	Das Leben ist kurz, iss den Nachtisch zuerst	Wendy Mass	German	4.02	    16543  	      1536    
13727046	Playway to English 1: Activity Book	Günter Gerngross	English	0.0	    0  	      0    
16359378	Casino Craps: Shoot to Win!	Frank Scoblete		3.65	    26  	      2    
20484742	Buddhist Nuns, Monks, and Other Worldly Matters	Gregory Schopen		5.0	    1  	      0    
23185903	Contes Aux Enfants Du Cha[teau de Vaux	De Maussion-B		0.0	    0  	      0    
31698070	Real Estate Investing for Family Offices: The Family Office Guide to Investing in Commercial and Investment Real Estate	DJ Van Keuren	English	0.0	    0  	      0    
4510624	History of Brevard County Vol. 1	Jerrell H. Schoffner	English	4.0	    2  	      1    
13801350	Our World	Globe Fearon	English	0.0	    0  	      0    
15123509	What Every Woman Should Know about Marriage, Separation and Divorce	Lynn King	English	0.0	    0  	      0    
15793746	شرف كاتارينا بلوم الضائع	Heinrich Böll	Arabic	3.69	    8132  	      413    
6916961	Although of Course You End Up Becoming Yourself: A Road Trip with David Foster Wallace	David Lipsky	English	3.89	    6687  	      777    
19406752	The Crater	James Fenimore Cooper	English	3.5	    42  	      1    
1141907	Cetaganda	Lois McMaster Bujold	English	4.16	    13120  	      470    
10425397	His Perfuming Process	Loretta J. Willis	English	0.0	    0  	      1    
18694100	The Pretty Witch	Lucy Gillen	English	2.75	    8  	      3    
11719382	Fury	Henry Kuttner	English	3.66	    291  	      28    
27672088	The Tapu of Banderah	Louis Becke		0.0	    0  	      0    
7282101	Blackrock to Whiterock Murders & Misdemeanours. by Douglas D'Enno	Douglas d'Enno	English	0.0	    0  	      0    
22639140	How to Really Love Your Grandchild: ...in an Ever-Changing World	D. Ross Campbell		3.73	    11  	      2    
32874829	The Storytelling Entrepreneur: Using stories for business success	Melissa Addey	English	0.0	    0  	      0    
21124136	The Pearls of Wisdom	Louise Miles	English	0.0	    0  	      0    
11792424	Lifestyles of the Fey and Dangerous	Danica Avet	English	4.52	    25  	      8    
3141359	Inside the Workplace: Finds from the 2004 Workplace Employment Relations Survey	Barbara Kersley	English	0.0	    0  	      0    
34262662	Proca]s-Verbal de L'Ouverture Des SaCembre 1790	Sans Auteur		0.0	    0  	      0    
17058462	Befriending Your Ex After Divorce: Making Life Better for You, Your Kids, And, Yes, Your Ex	Judith Ruskay Rabinor		4.13	    15  	      8    
23525668	Birth of a Theorem: A Mathematical Adventure	Cédric Villani	English	3.82	    685  	      90    
33045457	Carnet Thibaut Lignes,96p, A5 Coffeecups	Collectif		0.0	    0  	      0    
2435386	Puzzle for the Secret Seven	Enid Blyton	English	3.81	    1951  	      35    
4502466	Capital Embodied Technical Change And The Productivity Growth Slowdown In Canada	Surendra Gera	English	0.0	    0  	      0    
24691751	Interloching Pieces	Savage Rose	English	0.0	    0  	      0    
27036345	Broken in Half: Volume Two Four More Tales of Extreme Sex	Broke Landers	English	0.0	    0  	      0    
1883004	Visual Pedagogy: Media Cultures in and beyond the Classroom	Brian Goldfarb	English	4.0	    2  	      0    
26099775	Larissas Geheimnis	Gisela Garnschröder	English	0.0	    0  	      0    
16361664	Grundzuge Der Morphologie Des Deutschen	Hilke Elsen		0.0	    0  	      0    
16504003	The Commercialisation of Sport	T Slack		4.0	    1  	      0    
12708323	Ginger Bear	Mini Grey	English	3.74	    189  	      33    
15962660	High-Temperature Superconductors	Ajay Kumar Saxena	English	0.0	    0  	      0    
25223034	In Vain: Collected Poems	Mavis J. Pearl		0.0	    0  	      0    
8660686	THE MIND CONTROL GAME	Anthony Griffin		1.0	    1  	      0    
2425308	The Human Web: A Bird's-Eye View of World History	John Robert McNeill	English	3.7	    677  	      55    
1893364	Breakheart Hill	Thomas H. Cook	English	4.01	    683  	      72    
10410449	Lizards Don't Wear Lip Gloss	Trina Wiebe	English	3.63	    8  	      1    
2970685	Shindan	Alan P. Lightman	Japanese	0.0	    0  	      0    
23327316	Jimmy Wheelz and the Minilights: When Things Push You Down, Don't Quit! Get Up and Push Back Harder.	Tony Torres Vanga		0.0	    0  	      0    
29710062	Treatises on Geometrical Drawing: On the Arms in Use: On Permanent Fortification: The Attack and Defence of Fortresses: And on Military Mines	Woolwich Roy Military Acad		0.0	    0  	      0    
6493306	Creating Families Across Boundaries: A Case Study of Romanian/Egyptian Mixed Marriages	Ana Vinea	English	0.0	    0  	      0    
26741507	The Man Without a Country	Edward Everett Hale		3.69	    732  	      75    
24183519	How to Keep Your Classic Tractor Alive	Spencer Yost	English	5.0	    1  	      0    
34709431	Sudoku Puzzle Book, 800 Puzzles, 400 Medium and 400 Hard: Improve Your Game with This Two Level Book	Sudoku Puzzle Books		0.0	    0  	      0    
130585	Old Yeller	Walt Disney Company	English	4.19	    80  	      10    
18200845	Atomic Energy Costing	Warren Young		0.0	    0  	      0    
9679458	Big Enough for Halloween	Tor Richardson	Danish	0.0	    0  	      0    
36441076	Ierasties un mirt	Doroteja Simpsone	Latvian	3.0	    1  	      1    
586479	The Thorn of a Rose: Amy Lowell Reconsidered	Glenn Richard Ruihley	English	3.5	    2  	      0    
7893800	Study Bible-NKJV	Anonymous	English	4.67	    523  	      76    
14805064	Casi Amigos	Cindy Gerard	Spanish	3.79	    53  	      3    
31618312	Forsaken	Tiheasha D Beasley		0.0	    0  	      0    
28908917	The Laws of the United States of America	The United States of America		0.0	    0  	      0    
18362126	Harry Potter the Exhibition: Official Guide	Betsy Holt	English	3.96	    24  	      2    
22951964	Backyard Beasties	June Swanson		0.0	    0  	      0    
1436470	Dancers in Mourning	Margery Allingham	English	3.96	    1076  	      72    
15811998	Exam Ref 70-410: Installing and Configuring Windows Server 2012	Craig Zacker	English	3.96	    68  	      3    
14422863	Trent Maddox - Demon Eradicator: His Way Is the Highway . . . to Hell	Justin Thurmond	English	4.0	    1  	      0    
19702555	Tales for a Long Winter's Night	Judith Simpson	English	0.0	    0  	      0    
10094772	: appointed for the purpose of in	British Association for the Advancement of Science. Committee on North-Western Tribes of the Dominio	English	0.0	    0  	      0    
8129140	Fine Art Nature Photography: Advanced Techniques and the Creative Process	Tony Sweet	English	3.0	    1  	      0    
29450814	Most Fierce Ruthless Warriors That Shaped History: Hawaiian Koa Warriors: Polynesia's Most Elite Warriors	Adrian Ambrose	English	1.67	    3  	      2    
8401186	Bagh O Bahar Or Tales Of The Four Darweshes	Duncan Forbes		3.73	    96  	      7    
17092461	Eddalieder: Mit Grammatik, Ubersetzung Und Erlauterungen	Wilhelm Ranisch		0.0	    0  	      0    
10455578	Smuggler Ben	Enid Blyton	English	3.74	    46  	      1    
30781104	Fortification	S.K. Holder	English	4.0	    2  	      0    
14810373	In Reading: Level H	Steck-Vaughn	English	0.0	    0  	      0    
427398	Mary Prince and Other Slave Stories	William L. Andrews	English	0.0	    0  	      0    
15988262	Psalms for Sojourners	James Limburg	English	3.75	    4  	      3    
15375058	Mundo 21 and Workbook and Cassette Program, Second Edition	Fabián A. Samaniego	English	3.0	    7  	      0    
17433463	Tarot Dictionary and Compendium	Jana Riley		3.94	    31  	      2    
30098295	Evelyn's Cross	S.W. Frank		4.5	    2  	      1    
3441531	Cognitive Psychology	Robert L. Solso	English	3.72	    67  	      4    
33743108	Pomerly 7 Hrudnya: Stefanyk Vasyl Semenovych, Martin Rodbell, Zhemay Te Yuliya, Huhnin Mykola Pavlovych, Okhrimenko Pavlo Pavlovych	Dzherelo Wikipedia		0.0	    0  	      0    
1414563	Chevrolet Summers, Dairy Queen Nights: Of Cloudless and Carefree American Days	Bob  Greene	English	3.56	    64  	      9    
11795716	Gospel of Hope: They Lived with Jesus	Karl C. Evans	English	0.0	    0  	      0    
3449460	Financial Accounting	Gary A. Porter	English	3.3	    20  	      1    
25351078	Diagnoza i inne opowiadania	Jostein Gaarder	Polish	3.52	    375  	      15    
15411301	No Lotus Garden	Gren Wedderburn	English	0.0	    0  	      0    
12989112	Such a Rush	Jennifer Echols	English	3.84	    13878  	      1152    
14951377	Song Sheets to Software: A Guide to Print Music, Software, Instructional Media, and Web Sites for Musicians	Elizabeth C. Axford	English	0.0	    0  	      0    
4510269	Fundamentals Of Momentum, Heat, And Mass Transfer	James R. Welty	English	3.14	    37  	      5    
22785221	Together Through Life Volume II	Stephen Curtis		0.0	    0  	      0    
21209344	Auto Restoration, Block Sanding Techniques	Jeff Lilly	English	4.0	    1  	      0    
25907919	Awakening: Part 2 of the Hinterlands Series	Charlotte Grey		5.0	    1  	      0    
26379931	Coronado's March in Search of the Seven Cities of Cibola, and Discussion of Their Probable Location	J H Simpson		0.0	    0  	      0    
21920912	Mountains and Plains: The Ecology of Wyoming Landscapes	Dennis H. Knight	English	4.0	    2  	      0    
135117	Mechanics of the Doomsday and Life After Death	Unknown Author 118		0.0	    0  	      0    
35144973	Jesus Et Le Divorce	John Paul Meier		0.0	    0  	      0    
20982524	los	los	Spanish	0.0	    0  	      0    
28870734	Triumphing Over Hell on Earth	Dr Juniace Senecharles Etienne		0.0	    0  	      0    
29500774	Carson's: The History of a Chicago Shopping Landmark	Gayle Soucek	English	4.2	    5  	      2    
26921635	A Manual of Operative Surgery, Vol. 2	Frederick Treves		0.0	    0  	      0    
16883775	Facebook API Developers Guide	Wayne Graham		2.88	    8  	      1    
12454817	Private Practice	Steven Mollov	English	4.25	    4  	      0    
29951377	Death and White Diamonds	Jeff Markowitz		3.81	    21  	      7    
20645789	ها هو ذا البرنامج الاسلامي	جمال البنا		0.0	    0  	      0    
16264677	Deine Suppe Ess' Ich Nicht!: Kommunikation Und Lebenswelt Von Magersuechtigen	Kathrin Nikolaus		0.0	    0  	      0    
28880391	North Atlantic Coast Fisheries Tribunal of Arbitration: Constituted Under a Special Agreement Signed at Washington, January 27th, 1909, Between the United States of America and Great Britain: June 1st-September 7th, 1910, Volume 3	The United States of America		0.0	    0  	      0    
16440626	Healthy Cooking for Primary Schools: Book 2	Sandra Mulvany		0.0	    0  	      0    
16659822	Historical Materialism	Jesse Russell		0.0	    0  	      0    
27895330	New York in the War of the Rebellion, 1861 to 1865, Volume 4	Anonymous		0.0	    0  	      0    
30873747	The Publications of the Surtees Society, Volume 13	Surtees Society		0.0	    0  	      0    
21527687	The Rainmaker	John Grisham	English	3.91	    144211  	      1560    
2806337	Alaskan Highway	Leanne Karella		0.0	    0  	      0    
13050287	Unknown Book 13050287	Unknown Author 288		4.0	    1  	      0    
16173929	Youth	J.E. Medrick	English	4.0	    1  	      1    
19460069	Aus dem Schweigen der Vergangenheit: Erfahrungen und Berichte aus der siebenbürgischen Evangelischen Kirche A. B. in der Zeit des Kommunismus	Hermann Schuller	English	0.0	    0  	      0    
20630723	Eve und der letzte Engländer	Zaza Morgen	English	2.67	    9  	      1    
29816400	Family Prayer Book: Or, the Book of Common Prayer, and Administration of the Sacraments, and Other Rites and Ceremonies of the Church	Episcopal Church		0.0	    0  	      0    
9305970	The Marriage Mission	Pam Andrews		3.83	    30  	      1    
3673021	New Guinea Patrol	Martin D. Kerr		0.0	    0  	      0    
15368446	Printing Technology	J. Michael Adams	English	4.25	    4  	      0    
28991016	A Series of Suggestions and Observations Relative to Ireland	Thomas Newenham		0.0	    0  	      0    
34335883	راهنمای جامع ایرانگردی	حمید اعلمی	Farsi	3.0	    1  	      0    
8087033	The Gutter and the Grave	Curt Cannon	English	3.77	    956  	      99    
13758061	Fiesta! the Legend of the Poinsettia: A Christmas Mini-Musical for Unison Voices, Based on a Mexican Folk Tale	Sally K. Albrecht	English	0.0	    0  	      0    
28815814	In the Arena: Good Citizens, a Great Republic, and How One Speech Can Reinvigorate America	Pete Hegseth		4.12	    25  	      4    
14426312	An Economic Proposal: Fact Becoming Reality : A Token Society That Stabs Vampire Industries in the Heart	Uncle Nono Kingston	English	0.0	    0  	      0    
23564041	Muri e maschere	Linda Scaffidi	Italian	4.5	    4  	      2    
4194768	Insolvency and the Enterprise ACT 2002	S. Davies	English	0.0	    0  	      0    
28979997	Sketches of Life and Character	T.S. Arthur	English	0.0	    0  	      0    
28077158	Faith-Based Diplomacy: The Work of the Prophets	Brian Cox		0.0	    0  	      0    
6498226	A First Spanish Reader	Erwin W. Roessler		3.32	    57  	      2    
33968790	Sydney Suburbs & City Centre 218 r/v	Universal Publishers		0.0	    0  	      0    
12386891	Glückliche Menschen	Kristina Roy	German	4.13	    8  	      0    
31479641	Memoirs and Proceedings - Manchester Literary and Philosophical Society, Volume 1	Manchester Literary And Philosophical So		0.0	    0  	      0    
21312128	Love and Lies in the River City	D. Elaine Fields	English	4.43	    7  	      2    
6342792	Uma Aventura na Televisão	Ana Maria Magalhães	Portuguese	3.3	    256  	      4    
34872352	Blue Ashes	Samreena Ashraf	English	4.5	    2  	      0    
21585487	Occupy Wall Street, The Assault on Greed	Frank Zenau		0.0	    0  	      0    
16646368	Cliffsnotes on Goethe's Faust	Robert J. Milch		3.5	    2  	      1    
966546	Conversaciones En El Balneario y Otros Relatos	Carlos Jimenez Climent	English	0.0	    0  	      0    
13730862	Holt Science Spectrum: Physical Science with Earth and Space Science: Psae Prep for Science Practice Test Grades 9-12	Holt, Rinehart, and Winston, Inc.	English	0.0	    0  	      0    
6421076	Letters to Atticus vol. 1	Marcus Tullius Cicero	English	4.19	    59  	      7    
32024701	No Worse Enemy	Christopher G. Nuttall	English	4.0	    1610  	      38    
23441233	Service Fanatics: How to Build Superior Patient Experience the Cleveland Clinic Way: How to Build Superior Patient Experience the Cleveland Clinic Way	James Merlino	English	3.83	    48  	      8    
113153	Profiles in Faith	Harold J. Sala	English	4.07	    14  	      4    
29949746	Dark Surge	Gina Ranalli		3.71	    7  	      4    
8169447	The Concord Quartet: Alcott, Emerson, Hawthorne, Thoreau and the Friendship That Freed the American Mind	Samuel A. Schreiner Jr.	English	3.69	    81  	      19    
26242057	Ritter Kuno Kettenstrumpf und die geheimnisvolle Flaschenpost	Oliver Pötzsch	German	3.0	    1  	      0    
215411	Injuries, Trauma, & Death Due to Nuclear War	A. Laine	English	0.0	    0  	      0    
35848132	The Waiting Room	Jasper Wolf		5.0	    1  	      0    
17604367	What's New in Cardiac Imaging?: SPECT, PET, and MRI	Ernst E. van der Wall	English	0.0	    0  	      0    
28526485	Queda de gigantes: Primeiro livro da trilogia O Século	Ken Follett	Portuguese	4.26	    194470  	      12008    
9700910	La carta sferica	Arturo Pérez-Reverte	Italian	3.51	    4125  	      219    
36199260	イベント運営完全マニュアル	高橋 フィデル		0.0	    0  	      0    
19615570	Behold Yeshua! Come And See...	Joel Young	English	0.0	    0  	      0    
11016263	Building Routes to Customers	Peter Raulerson		2.5	    2  	      0    
5144321	Sobre Vivir: Memorias	Milan Platovsky Stein	Spanish	4.31	    13  	      1    
25872276	Somewhere In Time	Alyssa Richards		4.47	    30  	      20    
25957923	鉄砲三国志　大坂の陣外伝	南原 幹雄	English	0.0	    0  	      0    
20856178	Creciendo Libre: Manual Para Sobrevivientes de la Violencia Domestica	Michael Hertica		0.0	    0  	      0    
13482985	Marketingcommunicatiestrategie	Ko Floor	Dutch	3.0	    5  	      0    
17916499	Maoist Insurgency and India's Internal Security	E.N. Rammohun		0.0	    0  	      0    
18067619	Social Change, Resistance and Social Practices	Richard A. Dello Buono		3.0	    1  	      0    
3887461	Map Projection Methods	Frederick Pearson II		0.0	    0  	      0    
23484689	La primavera... La sangre altera	Various	Spanish	4.75	    4  	      2    
29440809	La edición epigráfica	Javier Andreu Pintado de la UNED	English	0.0	    0  	      0    
259779	Thus Spoke Firaq:  A Collection Of Interviews	Firaq Gorakhpuri		0.0	    0  	      0    
28627918	Computers in the Medical Office	Susan M. Sanderson	English	3.76	    21  	      0    
4419635	Der Leib des Papstes: Eine Theologie der Hinfälligkeit	Agostino Paravicini Bagliani	German	3.86	    7  	      1    
25836082	El secreto de aquel teatrillo ambulante	Francisco Campos Rojo	Spanish	0.0	    0  	      0    
22070789	Angel Arias	Marianne de Pierres	English	3.72	    691  	      113    
13518897	The Homeschooler's Guide to Portfolios and Transcripts	Loretta Heuer	English	3.91	    11  	      1    
11599270	Handel	Stanley Sadie	English	3.0	    1  	      1    
