id	title	author	published	language	avg_rating	ratings_count	review_count	genre_1	genre_2	genre_2	to_read	currently_reading	favorites
25309219	Trial and Temptation	Ruby Lionsdrake	2014-10-17		4.06	1013	95	Romance	Science Fiction	Romance	381	48	10
14578115	One Click: Jeff Bezos and the Rise of Amazon.com	Richard L. Brandt	2011-10-27	English	3.75	5155	327	Business	Nonfiction	Biography	2586	51	5
234225	Dune	Frank Herbert	1965-06-01	English	4.19	535378	13603	Science Fiction	Fiction	Fantasy	238590	13221	5875
2916266	The Man Whom the Trees Loved	Algernon Blackwood	1912	English	3.81	317	46	Horror	Fiction	Classics	408	6	5
22931534	Fertility Clinic 2	Gwendolyn Wilde	2014-07-30	English	3.67	9	1						
11016193	Tafsir Ibn Kathir  - Urdu Translation	ابن كثير		Urdu	5.0	1	0						
30148016	The Best  of Panels 2 Ponder	Frank M Young	2016-05-03		0.0	0	0						
16383272	Viral Ecology	Christon J. Hurst	2000-01-01		0.0	0	0						
4600642	A Baby Between Them	C.J. Carmichael	2006-07-01	English	3.58	24	2						
18162362	The Life Extension Companion	Durk Pearson	1985-03-01	English	5.0	1	0						
17343355	Roxanne	Tanya Goodwin	2013-02-07	English	5.0	1	0						
25447874	College Stepbrother: 9 Book Taboo Step Romance Box Set	Brandi Louis	2015-04-27	English	3.0	1	0						
35328247	Mary, the Mother of Jesus - Cover to Cover Study Guide	John Houghton	2015-04-13		0.0	0	0						
24753394	2013 National Gang Report: Street, Prison, Outlaw Motorcycle, Drug Trafficking, Organized Crime, Weapons, Explosives, Eme, Mexican Mafia, Bloods, Crips, Latin Kings, OMG, BCF, Los Zetas, Pagans	Progressive Management	2015-01-26		0.0	0	0						
12658784	Sam 2010 Assessment, Training, and Projects Version 2.0 W/ Mindtap Reader Printed Access Card	Course Course Technology	2011-03-30	English	0.0	0	0						
20820733	Tar Heel Traveler Eats: Food Journeys across North Carolina	Scott Mason	2014-09-16		3.67	9	1						
26079693	طريقك إلى الإخلاص والفقه في الدين	عبد الله بن ضيف الله الرحيلي	2001-10-31	Arabic	4.0	1	0						
27413146	Ophelia und das Geheimnis des magischen Museums	Karen Foxlee	2014-02-06	German	3.87	5093	962	Fantasy	Childrens	Middle Grade	5736	101	23
